ref_interne_decla,reference_externe_declaration,statut_declaration,id_gest_sinistre,type_cloture,date_survenance_declaration,date_declaration,lieu_declaration,heure_declaration,evenement_declaration,circonstance_declaration,contexte,circo_detaillee_1,circ_detaillee_commentaire,circo_aggravante_1,cird_aggravante_suite,pv,constat,cas_irsa,inc_existence_expertise,vehicule_retrouve,date_vehicule_retrouve
0007008792,006530627J,En Cours de Gestion,7810052287,NULL,2022-06-20 02:00:00,2022-06-21 02:00:00,PAREMPUYRE,21,Evénements naturels,Grêle,NULL,Divers,ORAGE DE GRELE                                                     PARE BRISE FELE                                                                                                                                                                                                                                                                                                                                        ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,NULL,NULL,N,N,NULL,O,N,
0006135027,005713588Y,Clôturée,8810047208,Clôture automatique,2021-07-10 02:00:00,2021-07-12 02:00:00,NULL,00,Accident de la circulation,Deux véhicules,Privé,NULL,sst - appel soc - je refais le point sur dossier.                  02.38.24.30.37 MR KOKENSKI,NULL,NULL,N,N,NULL,O,N,
1005547760,005167670J,Clôturée,0810048160,Clôture automatique,2020-10-22 02:00:00,2020-11-03 01:00:00,MAINVILLIERS,18,Accident de la circulation,Deux véhicules,Privé,NULL,"soc en stat, vtm adv en prenant son stat vient percuter soc. ca ok,fva ok. dommages sur pc arg                                                                                                                                                                              ????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",NULL,NULL,N,N,NULL,O,N,
6006064796,005647751L,En Cours de Gestion,8810054128,NULL,2021-06-20 02:00:00,2021-06-20 02:00:00,SENLIS,02,Incendie ou explosion,Incendie par communication,NULL,NULL,RECU CE JOUR DOCUMENTS DE CESSION ORIGINAUX DE CESSION ENTRE       SOC ET GMF,NULL,NULL,N,N,NULL,O,N,
5007121393,006637116H,Clôturée,7810054667,Clôture automatique,2022-07-22 02:00:00,2022-07-23 02:00:00,PARIS 08,09,Accident de la circulation,Deux véhicules,Privé,NULL,"ACCIDENT SUR DEUX FILES ET MEME SENS.                              VTM SOC DANS SA FILE. CA ETABLI SUR PAPIER LIBRE. VU CA, RC 00     SOC(JE TENTE CAS 15).                                                                                                                                                                                                                                                               ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",NULL,NULL,N,N,NULL,O,N,
4005833869,005433147W,En Cours de Gestion,7810046187,NULL,2021-02-27 01:00:00,2021-03-11 01:00:00,VENDIN LE VIEIL,00,Accident de la circulation,Aucun adversaire ou adversaire autre qu'un véhicule à moteur,Privé - Trajets travail,Corps fixe,SOC NOUS ADRESSE DA                                                ET NOUS CONTACT SI JOUR POUR EXP AU GARAGE MIDAS,NULL,NULL,N,N,NULL,O,N,
7008020432,007481011K,Clôturée,4810048594,Clôture automatique,2023-07-24 02:00:00,2023-07-27 02:00:00,NULL,16,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,NULL,NULL,NULL,N,N,NULL,O,N,
7004691710,004370839N,Clôturée,8810049848,Clôture automatique,2019-11-05 01:00:00,2019-11-05 01:00:00,MONTELIMAR,10,Accident de la circulation,Deux véhicules,Privé,NULL,CA RECU/SOUS GED                                                   CA SIGNE CASE 14 COCHEE PAR ADV                                                                                                                                                                                                                                                                                                                        ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,NULL,NULL,N,N,NULL,O,N,
1005962984,005552659A,Clôturée,1810049441,Clôture automatique,2021-05-10 02:00:00,2021-05-10 02:00:00,NULL,08,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,attente constat signé                                              info donnée                                                        rc inc attente constat                                             et idp lancé pour vérif si camion                                                                                                     ei adv a revérifier à réception idp et constat,NULL,NULL,N,O,NULL,O,N,
5008109708,007564926X,En Cours de Gestion,8810050068,NULL,2023-08-29 02:00:00,2023-09-03 02:00:00,MEUNG SUR LOIRE,19,Accident de la circulation,Deux véhicules,Privé,NULL,NULL,NULL,NULL,N,N,NULL,N,N,
0007468468,006962186V,Clôturée,1810049441,Clôture automatique,2022-11-04 01:00:00,2022-12-12 01:00:00,VALLAURIS,10,Accident de la circulation,Deux véhicules,NULL,NULL,"Soc en stat sur un parking, adv ouvre sa porte qui tape véh de     soc.                                                               Constat ok                                                         pas de blessé, pas de police                                                                                                                                                                                     ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",NULL,NULL,N,O,NULL,O,N,
8007297852,006802429W,Clôturée,0100006037,Clôture automatique,2022-09-29 02:00:00,2022-09-30 02:00:00,NULL,19,Accident de la circulation,Deux véhicules,Privé,NULL,CESSION OK à INDRA SAS                                             Csa Ok                                                             Docs cession envoyés à l'épaviste ce jour                          CERFA cession revenant au sociétaire envoyé ce jour,NULL,NULL,N,O,NULL,O,N,
0006194719,005769766L,Clôturée,0100006037,Clôture automatique,2021-07-18 02:00:00,2021-08-04 02:00:00,NULL,14,Accident de la circulation,Deux véhicules,Privé,NULL,Constat cosigné : adv sort d'un parking et percute vtm soc qui     roule dans sa voie                                                 FVA ok                                                                                                                                                                                                                                                                              ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,NULL,NULL,N,N,NULL,O,N,
0006068441,005651356E,Clôturée,7810046187,Clôture automatique,2021-06-18 02:00:00,2021-06-21 02:00:00,NULL,15,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,"CA reçu et déposé en GED , bien co signé je modifie donc en cas 51 rc 00%",NULL,NULL,N,O,NULL,O,N,
2005447195,005074557Z,Clôturée,8810049848,Clôture automatique,2020-09-14 02:00:00,2020-09-25 02:00:00,SAN NICOLAO,17,Accident de la circulation,Deux véhicules,Privé,NULL,"Accident 2 VTM sur un parking                                      SOC prend un stationnement en reculant et se fait heurter par      VTm ADV qui circulait en travers sur les places de parking         Dommages: aile ARD, jupe ARD                                       CA cosigné                                                         pas de blessé ni témoin",NULL,NULL,N,N,NULL,O,N,
0006488551,006045239N,En Cours de Gestion,7810054667,NULL,2021-11-25 01:00:00,2021-11-26 01:00:00,BORDEAUX,15,Accident de la circulation,Deux véhicules,Privé - Affaires,NULL,Recours émis reversé à la MACIF - Identification du tiers KO       suivant le constat - impossible de retrouver les infos adverses    et tel adverse KO / MEC de l'adversaire impossible - dossier soldé,NULL,NULL,N,O,NULL,O,N,
2004783902,004457140U,Clôturée,7810046187,Clôture automatique,2019-12-03 01:00:00,2019-12-05 01:00:00,JARGEAU,18,Accident de la circulation,Deux véhicules,Privé,NULL,reçu appel soc souhaite savoir retour temoin.                      vu relance du 13/01 info soc pas de retour ce jr.,NULL,NULL,N,N,NULL,O,N,
1007822111,007294318H,Clôturée,8810054128,Clôture automatique,2023-05-16 02:00:00,2023-05-16 02:00:00,LUCE,08,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,Soc heurté par vtm tiers qui reculait lorsque soc sortait de son parking privé - Dom portiere AVD + jante                                                                                                                                                                                                                                                                                                                 ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,NULL,NULL,N,O,NULL,O,N,
0007333038,006835329G,Clôturée,8810049848,Clôture automatique,2022-10-13 02:00:00,2022-10-14 02:00:00,NULL,20,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,"CA COSIGNE, PAS DE TEMOIN, PAS DE BLESSE.                          VTM SOCIETAIRE STATIONNE EST HEURTE PAR VTM ADVERSE RECULANT.      RC 00.                                                                                                                                                                                                                                                                              ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",NULL,NULL,N,N,NULL,O,N,
0005842332,005441077R,Clôturée,7810052287,Clôture automatique,2021-03-15 01:00:00,2021-03-15 01:00:00,NEVERS,13,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,"ccb soc refuse garage agrée, avisée pas de reglt direct            controle iban ok",NULL,NULL,N,N,NULL,O,N,
9007601419,007086760B,En Cours de Gestion,0100006037,NULL,2023-02-04 01:00:00,2023-02-07 01:00:00,NANTES,11,Accident de la circulation,Deux véhicules,Privé,NULL,je tel a soc et lui laisse message constat ??????,NULL,NULL,N,N,NULL,O,N,
0007151281,006664939A,Clôturée,1810049441,Clôture automatique,2022-08-02 02:00:00,2022-08-04 02:00:00,NULL,08,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,appel de soc RIB OK                                                PAs de police,NULL,NULL,N,N,NULL,O,N,
6005242988,004885367H,Clôturée,9810049849,Clôture automatique,2020-05-28 02:00:00,2020-07-06 02:00:00,BLOIS,12,Accident de la circulation,Deux véhicules,Privé,NULL,APPEL EMIS SOCIETAIRE POUR LUI DEMANDE LE CONSTAT POUR VERIFIER    QUE TOUT EST BON POUR POUVOIR RECREER LA MISSION AU BON CONTRAT    - REPONDEUR - LAISSER UN MESSAGE,NULL,NULL,N,N,NULL,O,N,
1007186264,006697792K,En Cours de Gestion,7810052287,NULL,2022-08-17 02:00:00,2022-08-19 02:00:00,FLEURY LES AUBRAIS,17,Accident de la circulation,Deux véhicules,Privé,NULL,L avise de la RC 00 - la soc revenir vers nous pour le choix du ggeEnvoie les coordonnées du CG par sms.,NULL,NULL,N,N,NULL,N,N,
6006760256,006298229C,Clôturée,1810049441,Clôture automatique,2022-03-17 01:00:00,2022-03-17 01:00:00,MEYNES,07,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,Je recontacte SOC entre 10h et 11h ce jour,NULL,NULL,N,N,NULL,O,N,
3007745761,007222402N,Clôturée,7810046187,Clôture automatique,2023-04-11 02:00:00,2023-04-12 02:00:00,NICE,09,Accident de la circulation,Deux véhicules,NULL,NULL,Tel à soc = PEC ok. Constat reçu.,NULL,NULL,N,O,NULL,O,N,
7008111387,007566483P,En Cours de Gestion,9810050069,NULL,2023-09-02 02:00:00,2023-09-04 02:00:00,NULL,15,Accident de la circulation,Aucun adversaire ou adversaire autre qu'un véhicule à moteur,Privé,Corps fixe,NULL,NULL,NULL,N,N,NULL,O,N,
5004783420,004456812M,Clôturée,1810049441,Clôture automatique,2019-12-04 01:00:00,2019-12-05 01:00:00,PLOERMEL,15,Accident de la circulation,Deux véhicules,Privé,NULL,appel soc quid dossier. CA en MS. je confirme RC 00 pour soc et debloque PEC,NULL,NULL,N,O,NULL,O,N,
6005952241,005542606Y,Clôturée,6810050066,Clôture automatique,2021-05-05 02:00:00,2021-05-05 02:00:00,TOURS,09,Accident de la circulation,Deux véhicules,NULL,NULL,Plafond d'incontestabilité dépassé => renvoi du courrier à PACIFICA,NULL,NULL,N,N,NULL,O,N,
8004869199,004537184Y,Clôturée,0810048160,Clôture automatique,2020-01-05 01:00:00,2020-01-08 01:00:00,NULL,11,Accident de la circulation,Deux véhicules,NULL,NULL,"soc avisé resp 00, pas de malus pas de franchise                   garage agréé ok                                                    acr envoyé par email                                               CA demandé via MS",NULL,NULL,N,N,NULL,O,N,
9004891077,004557488T,Clôturée,2810061512,Clôture automatique,2020-01-16 01:00:00,2020-01-16 01:00:00,FACHES THUMESNIL,09,Vol (véhicule retrouvé),Avec effraction du véhicule,NULL,Non identifié,envoie par mail les documents suite mess précé par mail,NULL,NULL,N,N,NULL,O,O,2023-06-23
3007456004,006950420F,En Cours de Gestion,1810049441,NULL,2022-12-06 01:00:00,2022-12-06 01:00:00,NULL,08,Accident de la circulation,Deux véhicules,Privé,NULL,Constat co signé en GED,NULL,NULL,N,O,NULL,N,N,
4005123741,004775141X,Clôturée,0810048160,Clôture automatique,2020-05-18 02:00:00,2020-05-19 02:00:00,NARBONNE,15,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,"mme au volant du vehicule, à l'arret suite ralentissement tiers ne la voie pas et percute madame.                                     aucun bléssé, pas de témoin pas de police.                         constat contre signé, case 1 pour soc  et case 8 pour adv",NULL,NULL,N,N,NULL,O,N,
2007691516,007171430J,Clôturée,9810050069,Clôture automatique,2023-03-19 01:00:00,2023-03-20 01:00:00,ANTIBES,16,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,SDV: expert ns informe veh reparable et qu'il faut l 'envoyer vers Renault Antibes .Necessaire fait hier                              Renvoie modification de la PEC à l expert avec nv gge,NULL,NULL,N,N,NULL,O,N,
3005913333,005506462L,En Cours de Gestion,2810033312,NULL,2021-04-16 02:00:00,2021-04-17 02:00:00,NULL,08,Accident de la circulation,Carambolage,Privé - Trajets travail,NULL,"sst mme soc< J ouvre la DA. Beug info< impossible de poursuivre,   je prends les elements et la recontacte.                           4 vtm impliqués. Soc a ete percute par un vtm qui a refuse 1 stop  Elle a ete projette sur vtm en sens inverse, et sur un autre vtm   en stationnement (pas de ca avec celui ci, ne semblait pas de dommages, soc a laisse son tel mais la personne nest pas revenue)       Pompiers, police test negatif. Possede cmi.                        Siege auto< depanneur a demande a soc de les recuperer. Expert     ne peut donc pas les voir. Possede 1 seule facture",NULL,NULL,N,N,NULL,O,N,
9006554472,006107020S,Clôturée,7810054667,Clôture automatique,2021-12-21 01:00:00,2021-12-23 01:00:00,DZAOUDZI,09,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,Active depuis 01/01/2020  - ALLIANZ IARD  - CA000000274934         Immatriculation :  EL956DL                                         Assureur :  ALLIANZ IARD                                           Numéro de police :  CA000000274934                                 Date de Début :  01/01/2020                                        Date de Fin :  Aucune - Active,NULL,NULL,N,O,NULL,O,N,
6005436777,005064761B,Clôturée,4810037884,Clôture automatique,2020-09-21 02:00:00,2020-09-22 02:00:00,NULL,19,Accident de la circulation,Carambolage,NULL,NULL,suite dsi + constat co signe => acr mzil rc 00 pas de malus et pas de franchise                                                       => mevo soc pour expertise,NULL,NULL,N,N,NULL,O,N,
0930001502,930001085W,En Cours de Gestion,6810048596,NULL,2021-06-09 02:00:00,2021-08-20 02:00:00,NULL,10,Accident de la circulation,Aucun adversaire ou adversaire autre qu'un véhicule à moteur,Privé,Corps fixe,NULL,NULL,NULL,N,N,NULL,O,N,
1004871041,004538842A,Clôturée,4810048594,Clôture automatique,2019-12-13 01:00:00,2020-01-08 01:00:00,ISTRES,16,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,ca en ged acr à soc,NULL,NULL,N,N,NULL,O,N,
6007635577,007118864X,Clôturée,6810050066,Clôture automatique,2023-02-20 01:00:00,2023-02-22 01:00:00,MONTREDON DES CORBIERES,17,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,"sms envoyé / appel ok mais mme n'a pas le temps, elle nous rappelle",NULL,NULL,N,N,NULL,O,N,
0930001372,930000957G,En Cours de Gestion,6810050066,NULL,2021-07-20 02:00:00,2021-08-03 02:00:00,NULL,14,Evénements divers non répertoriés,"Taggage, vandalisme",NULL,Absence,NULL,NULL,NULL,N,N,NULL,N,N,
9005197058,004843137F,Clôturée,1205184151,Clôture automatique,2020-06-17 02:00:00,2020-06-18 02:00:00,NULL,19,Accident de la circulation,Deux véhicules,Privé,NULL,"RE reçu, VEI, transfert au CG sur place vu pièces de cession à     venir",NULL,NULL,N,N,NULL,O,N,
6005200837,004846687P,Clôturée,6810050066,Clôture automatique,2020-06-18 02:00:00,2020-06-19 02:00:00,CAPESTERRE BELLE EAU,16,Accident de la circulation,Deux véhicules,Privé,NULL,avisé rc inconnue                                                  ns envoie le ca par courrier                                       verifier cie tiers                                                 lui dit que tiers grille stop or ca cest lui a verifier            envoie sms cg,NULL,NULL,N,O,NULL,O,N,
9004891077,004557488T,Clôturée,2810061512,Clôture automatique,2020-01-16 01:00:00,2020-01-16 01:00:00,FACHES THUMESNIL,09,Vol (véhicule retrouvé),Avec effraction du véhicule,NULL,Non identifié,relance soc justif,NULL,NULL,N,N,NULL,O,O,2023-06-23
0930001704,930001285N,En Cours de Gestion,4810048594,NULL,2021-07-27 02:00:00,2021-09-14 02:00:00,NULL,09,Accident de la circulation,Aucun adversaire ou adversaire autre qu'un véhicule à moteur,Privé,Absence,NULL,NULL,NULL,N,N,NULL,N,N,
0008082490,007539277T,En Cours de Gestion,7810046187,NULL,2023-08-22 02:00:00,2023-08-23 02:00:00,CHEVIGNY ST SAUVEUR,18,Accident de la circulation,Deux véhicules,Privé,NULL,NULL,NULL,NULL,N,N,NULL,N,N,
6006688183,006231120H,Clôturée,9810050069,Clôture automatique,2022-02-18 01:00:00,2022-02-19 01:00:00,ST JEAN DE LA RUELLE,20,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,DCF: reçu lettre cheque pr reglement du recours.Ds l attente de    AGD AAA,NULL,NULL,N,N,NULL,O,N,
0007333038,006835329G,Clôturée,8810049848,Clôture automatique,2022-10-13 02:00:00,2022-10-14 02:00:00,NULL,20,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,*appel soc recu suite MEVO recu : je confirme RC 00 + PEC TT +     pas de malus + pas de fch                                          *mission gge agrée,NULL,NULL,N,N,NULL,O,N,
9006907398,006435145Z,Clôturée,8810054128,Clôture automatique,2022-05-18 02:00:00,2022-05-19 02:00:00,ISTRES,15,Accident de la circulation,Deux véhicules,NULL,NULL,Suite appel SST : confirmation immat adv par soc                   FVA ok CJ-390-KB,NULL,NULL,N,O,NULL,O,N,
6007923184,007389354H,En Cours de Gestion,9810049849,NULL,2023-06-19 02:00:00,2023-06-22 02:00:00,VILLEFONTAINE,13,Accident de la circulation,Deux véhicules,Privé,NULL,dst : tel du soc                                                   -mep ead                                                           -env acr par mail                                                  -va ns env son cst via ms                                          -a reception faire modgen pour la partie adv                       -verisure ok,NULL,NULL,N,N,NULL,O,N,
9004891077,004557488T,Clôturée,2810061512,Clôture automatique,2020-01-16 01:00:00,2020-01-16 01:00:00,FACHES THUMESNIL,09,Vol (véhicule retrouvé),Avec effraction du véhicule,NULL,Non identifié,dossier en cours de validation par karine vu montant offre,NULL,NULL,N,N,NULL,O,O,2023-06-23
0005837782,005436828X,Clôturée,6810050066,Clôture automatique,2021-03-13 01:00:00,2021-03-13 01:00:00,MARSANNAY LA COTE,13,Accident de la circulation,Deux véhicules,NULL,NULL,soc nous contact suite cheque laissé au garage pour sa franchise   je lui confirme recep constat - j'envoie acr par mail + j'appel    garage pour confirmer reglement effectué,NULL,NULL,N,N,NULL,O,N,
0006008328,005594982D,Clôturée,9810049849,Clôture automatique,2021-05-30 02:00:00,2021-05-31 02:00:00,NULL,15,Accident de la circulation,Deux véhicules,Privé,NULL,Envoi d'un agenda de mise en conformité en raison de Carte grise,NULL,NULL,N,N,NULL,O,N,
2005718795,005326317B,Clôturée,0100006037,Clôture automatique,2021-01-12 01:00:00,2021-01-22 01:00:00,TULLE,10,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,"appel soc KO, message répondeur info rc 00 + PEC TT                acr mail                                                           sms coord cg",NULL,NULL,N,N,NULL,O,N,
4007458043,006952303C,Clôturée,6810048596,Clôture automatique,2022-12-02 01:00:00,2022-12-07 01:00:00,NULL,14,Accident de la circulation,Deux véhicules,Privé,NULL,INDIQUE rc nulle//demande constat                                  garage non agréé                                                   acr envoye,NULL,NULL,N,O,NULL,O,N,
6004447517,004141764U,Clôturée,7810046187,Clôture automatique,2019-07-30 02:00:00,2019-07-31 02:00:00,LA SEYNE SUR MER,09,Accident de la circulation,Deux véhicules,NULL,NULL,recu ca par mail - classé en ged - rc soc 00 - je lui renvoi acr,NULL,NULL,N,N,NULL,O,N,
6006523649,006078226U,Clôturée,9810050069,Clôture automatique,2021-12-10 01:00:00,2021-12-10 01:00:00,ST MAIXENT L ECOLE,10,Accident de la circulation,Deux véhicules,NULL,NULL,je renvois mec tiers en reco                                       si retour en npai: saisir intrum,NULL,NULL,N,N,NULL,O,N,
4007596378,007082076K,En Cours de Gestion,7810057897,NULL,2023-02-06 01:00:00,2023-02-06 01:00:00,AURIBEAU SUR SIAGNE,09,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,sociétaire heurte un vtm stationnement le long de la chaussée      et endommage l'avant droit de son véhicule. Véhicule assuré non    roulant remorqué. pas blessé. Constat pas encore fait avec voisin.,NULL,NULL,N,N,NULL,O,N,
1007757289,007233202C,Clôturée,7810046187,Clôture automatique,2023-04-17 02:00:00,2023-04-17 02:00:00,NULL,13,Accident de la circulation,Deux véhicules,Privé,NULL,reçu de la soc est passée au gge ce matin mais le gge n'a pas la   mission.                                                           -appel émis gge qui a fini par retrouver la mission et invite soc  à repasser pour EAD,NULL,NULL,N,N,NULL,O,N,
5006595331,006144842C,Clôturée,9810049849,Clôture automatique,2022-01-07 01:00:00,2022-01-12 01:00:00,NULL,16,Accident de la circulation,Deux véhicules,Privé,NULL,recu mail expert je renvoie decla ce jour,NULL,NULL,N,N,NULL,O,N,
6005952241,005542606Y,Clôturée,6810050066,Clôture automatique,2021-05-05 02:00:00,2021-05-05 02:00:00,TOURS,09,Accident de la circulation,Deux véhicules,NULL,NULL,VTM REPARABLE -VRADE 13000- TRAVAUX 8000,NULL,NULL,N,N,NULL,O,N,
7005800161,005401799X,Clôturée,0810048160,Clôture automatique,2021-02-20 01:00:00,2021-02-25 01:00:00,CHARMEIL,16,Accident de la circulation,Deux véhicules,Privé,NULL,DOS DEJA EN POCHETTE A L'ARRIVEE DE LA DSI,NULL,NULL,N,N,NULL,O,N,
9005618040,005232428Y,Clôturée,7810046187,Clôture automatique,2020-12-07 01:00:00,2020-12-08 01:00:00,COURSEGOULES,09,Accident de la circulation,Deux véhicules,Privé,NULL,"rc in, franchise 388 euros. soc n'a pas relevé la plaque de l'adv  mais a un témoin. soc me dit que son témoin travaille qu'elle va lacontacter pour récupérer ses coordonnées ce soir. adv est une      entreprise d'eboueur elle va prendre contacte avec eux demain pour savoir si un constat peut etre signé entre eux.",NULL,NULL,N,N,NULL,O,N,
0005940587,005531773Y,Clôturée,8810049848,Clôture automatique,2021-04-22 02:00:00,2021-04-30 02:00:00,VILLENEUVE SUR LOT,11,Accident de la circulation,Deux véhicules,Privé,NULL,Soc a déposé CA au GMFC - en cours de transfert via service num    Soc en a une copie.                                                BIEN VERIFIER IMMAT ADV A RECEPTION.,NULL,NULL,N,O,NULL,O,N,
0006008328,005594982D,Clôturée,9810049849,Clôture automatique,2021-05-30 02:00:00,2021-05-31 02:00:00,NULL,15,Accident de la circulation,Deux véhicules,Privé,NULL,reçu rglt cie adv                                                  affectation effectuée,NULL,NULL,N,N,NULL,O,N,
